รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,8,0
ENGCE125_sec1_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_202,lab,จันทร์,9,0
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,9,0
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,จันทร์,10,0
ENGCE125_sec1_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_202,lab,จันทร์,10,0
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,10,0
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,จันทร์,11,0
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,จันทร์,12,0
ENGCE106_sec2_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,จันทร์,13,0
ENGCE106_sec2_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,จันทร์,14,0
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,15,0
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,16,0
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_101,theory,จันทร์,17,0
ENGCE110_sec2,computer and data,อ.พิชิต ทนันชัย,ทค1_302,theory,จันทร์,17,0
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_202,theory,จันทร์,17,0
ENGCE117_sec3_lab,com programming,อ.อนันท ทับเกิด,ทค2_101,lab,จันทร์,17,0
ENGCE125_sec3,OS,อ.ปณต พุกกะพันธุ์,ทค1_201,theory,จันทร์,17,0
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_101,theory,จันทร์,18,0
ENGCE106_sec3_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,จันทร์,18,0
ENGCE110_sec2,computer and data,อ.พิชิต ทนันชัย,ทค1_302,theory,จันทร์,18,0
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_202,theory,จันทร์,18,0
ENGCE117_sec3_lab,com programming,อ.อนันท ทับเกิด,ทค2_101,lab,จันทร์,18,0
ENGCE125_sec3,OS,อ.ปณต พุกกะพันธุ์,ทค1_201,theory,จันทร์,18,0
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_101,theory,จันทร์,19,0
ENGCE106_sec3_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,จันทร์,19,0
ENGCE110_sec2,computer and data,อ.พิชิต ทนันชัย,ทค1_302,theory,จันทร์,19,0
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_202,theory,จันทร์,19,0
ENGCE125_sec3,OS,อ.ปณต พุกกะพันธุ์,ทค1_201,theory,จันทร์,19,0
ENGCE123_sec2,system,อ.ปณต พุกกะพันธุ์,ทค1_202,theory,พฤหัสบดี,8,0
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค2_101,theory,พฤหัสบดี,8,0
ENGCE123_sec2,system,อ.ปณต พุกกะพันธุ์,ทค1_202,theory,พฤหัสบดี,9,0
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค2_101,theory,พฤหัสบดี,9,0
ENGCE123_sec2,system,อ.ปณต พุกกะพันธุ์,ทค1_202,theory,พฤหัสบดี,10,0
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค2_101,theory,พฤหัสบดี,10,0
ENGCE125_sec2_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค2_101,lab,พฤหัสบดี,12,0
ENGCE125_sec2_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค2_101,lab,พฤหัสบดี,13,0
ENGCE106_sec4,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,พฤหัสบดี,14,0
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,พฤหัสบดี,14,0
ENGCE106_sec4,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,พฤหัสบดี,15,0
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,พฤหัสบดี,15,0
