รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,theory,ศุกร์,18,ศุกร์_18
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,ศุกร์,18,ศุกร์_18
ENGCE112_sec1_lab,solfware design,อ.ธนิต เกตุแก้ว,ทค1_101,lab,ศุกร์,18,ศุกร์_18
ENGCE117_sec1,com programming,อ.กิตตินันท น้อยมณี,ทค2_201,theory,ศุกร์,18,ศุกร์_18
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,theory,ศุกร์,19,ศุกร์_19
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,ศุกร์,19,ศุกร์_19
ENGCE112_sec1_lab,solfware design,อ.ธนิต เกตุแก้ว,ทค1_101,lab,ศุกร์,19,ศุกร์_19
ENGCE117_sec1,com programming,อ.กิตตินันท น้อยมณี,ทค2_201,theory,ศุกร์,19,ศุกร์_19
ENGCE109_sec2_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,เสาร์,8,เสาร์_8
ENGCE115_sec1_lab,co-op,อ.กิตตินันท น้อยมณี,ทค2_201,lab,เสาร์,8,เสาร์_8
ENGCE109_sec2_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,เสาร์,9,เสาร์_9
ENGCE113_sec1,pre-project,อ.อนันท ทับเกิด,ทค1_202,theory,เสาร์,9,เสาร์_9
ENGCE115_sec1_lab,co-op,อ.กิตตินันท น้อยมณี,ทค2_201,lab,เสาร์,9,เสาร์_9
ENGCE113_sec1,pre-project,อ.อนันท ทับเกิด,ทค1_202,theory,เสาร์,10,เสาร์_10
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,เสาร์,11,เสาร์_11
ENGCE113_sec1,pre-project,อ.อนันท ทับเกิด,ทค1_202,theory,เสาร์,11,เสาร์_11
ENGCE125_sec3,OS,อ.ปณต พุกกะพันธุ์,ทค2_101,theory,เสาร์,11,เสาร์_11
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,เสาร์,12,เสาร์_12
ENGCE125_sec3,OS,อ.ปณต พุกกะพันธุ์,ทค2_101,theory,เสาร์,12,เสาร์_12
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,เสาร์,13,เสาร์_13
ENGCE125_sec3,OS,อ.ปณต พุกกะพันธุ์,ทค2_101,theory,เสาร์,13,เสาร์_13
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_101,theory,เสาร์,14,เสาร์_14
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_101,theory,เสาร์,15,เสาร์_15
ENGCE125_sec3_lab,OS,อ.ปณต พุกกะพันธุ์,ทค1_202,lab,เสาร์,15,เสาร์_15
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_101,theory,เสาร์,16,เสาร์_16
ENGCE125_sec3_lab,OS,อ.ปณต พุกกะพันธุ์,ทค1_202,lab,เสาร์,16,เสาร์_16
ENGCE128_sec2_lab,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_101,lab,อาทิตย์,10,อาทิตย์_10
ENGCE128_sec2_lab,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_101,lab,อาทิตย์,11,อาทิตย์_11
ENGCE109_sec1_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,อาทิตย์,12,อาทิตย์_12
ENGCE117_sec2_lab,com programming,อ.กิตตินันท น้อยมณี,ทค1_205,lab,อาทิตย์,12,อาทิตย์_12
ENGCE109_sec1_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,อาทิตย์,13,อาทิตย์_13
ENGCE117_sec2_lab,com programming,อ.กิตตินันท น้อยมณี,ทค1_205,lab,อาทิตย์,13,อาทิตย์_13
ENGCE128_sec1_lab,pre-operative,อ.กิตตินันท น้อยมณี,ทค2_201,lab,อาทิตย์,16,อาทิตย์_16
ENGCE128_sec1_lab,pre-operative,อ.กิตตินันท น้อยมณี,ทค2_201,lab,อาทิตย์,17,อาทิตย์_17
