รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,8,0
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,9,0
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,10,0
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,15,0
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,16,0
ENGEE105_sec1_lab,คอม,บิว,ทค2_201,lab,พฤหัสบดี,17,0
ENGEE105_sec1_lab,คอม,บิว,ทค2_201,lab,พฤหัสบดี,18,0
ENGEE502_sec2,ไฟฟ้า,เอก,ทค1_101,theory,พุธ,8,0
ENGEE502_sec2,ไฟฟ้า,เอก,ทค1_101,theory,พุธ,9,0
ENGEE502_sec2,ไฟฟ้า,เอก,ทค1_101,theory,พุธ,10,0
กิจกรรม,กิจกรรม,N/A,N/A,activity,พุธ,15,0
กิจกรรม,กิจกรรม,N/A,N/A,activity,พุธ,16,0
กีฬา,กีฬา,N/A,N/A,activity,ศุกร์,15,0
กีฬา,กีฬา,N/A,N/A,activity,ศุกร์,16,0
ENGEE105_sec1,คอม,บิว,ทค2_201,theory,อังคาร,17,0
ENGEE105_sec1,คอม,บิว,ทค2_201,theory,อังคาร,18,0
ENGEE105_sec1,คอม,บิว,ทค2_201,theory,อังคาร,19,0
