รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค2_101,theory,จันทร์,8,จันทร์_8
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,จันทร์,8,จันทร์_8
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,8,จันทร์_8
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค2_101,theory,จันทร์,9,จันทร์_9
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,จันทร์,9,จันทร์_9
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,9,จันทร์_9
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค2_101,theory,จันทร์,10,จันทร์_10
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,จันทร์,10,จันทร์_10
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,10,จันทร์_10
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค1_201,theory,จันทร์,12,จันทร์_12
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค1_201,theory,จันทร์,13,จันทร์_13
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค1_201,theory,จันทร์,14,จันทร์_14
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,15,จันทร์_15
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,16,จันทร์_16
ENGCE106_sec2,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,จันทร์,17,จันทร์_17
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_205,theory,จันทร์,17,จันทร์_17
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_201,theory,จันทร์,17,จันทร์_17
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_101,theory,จันทร์,17,จันทร์_17
ENGCE106_sec2,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,จันทร์,18,จันทร์_18
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_205,theory,จันทร์,18,จันทร์_18
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_201,theory,จันทร์,18,จันทร์_18
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_101,theory,จันทร์,18,จันทร์_18
ENGCE106_sec2,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,จันทร์,19,จันทร์_19
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_205,theory,จันทร์,19,จันทร์_19
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_201,theory,จันทร์,19,จันทร์_19
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_101,theory,จันทร์,19,จันทร์_19
