รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,17
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,18
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,19
ENGCC304_sec2,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,theory,จันทร์,8
ENGCC304_sec2,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,theory,จันทร์,9
ENGCC304_sec2,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,theory,จันทร์,10
ENGCC304_sec3,computer programming,อ.ยุพดี หัตถสิน,ทค1_205,theory,จันทร์,8
ENGCC304_sec3,computer programming,อ.ยุพดี หัตถสิน,ทค1_205,theory,จันทร์,9
ENGCC304_sec3,computer programming,อ.ยุพดี หัตถสิน,ทค1_205,theory,จันทร์,10
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,จันทร์,8
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,จันทร์,9
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,จันทร์,10
ENGCE106_sec1_lab,data communication,อ.อรรถพล วิเวก,ทค2_302,lab,พฤหัสบดี,8
ENGCE106_sec1_lab,data communication,อ.อรรถพล วิเวก,ทค2_302,lab,พฤหัสบดี,9
ENGCE106_sec2,data communication,อ.อรรถพล วิเวก,ทค2_302,theory,จันทร์,11
ENGCE106_sec2,data communication,อ.อรรถพล วิเวก,ทค2_302,theory,จันทร์,12
ENGCE106_sec2,data communication,อ.อรรถพล วิเวก,ทค2_302,theory,จันทร์,13
ENGCE106_sec2_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,พฤหัสบดี,10
ENGCE106_sec2_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,พฤหัสบดี,11
ENGCE106_sec3,data communication,อ.อรรถพล วิเวก,ทค2_302,theory,จันทร์,17
ENGCE106_sec3,data communication,อ.อรรถพล วิเวก,ทค2_302,theory,จันทร์,18
ENGCE106_sec3,data communication,อ.อรรถพล วิเวก,ทค2_302,theory,จันทร์,19
ENGCE106_sec3_lab,data communication,อ.อรรถพล วิเวก,ทค2_302,lab,พฤหัสบดี,12
ENGCE106_sec3_lab,data communication,อ.อรรถพล วิเวก,ทค2_302,lab,พฤหัสบดี,13
ENGCE106_sec4,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,จันทร์,11
ENGCE106_sec4,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,จันทร์,12
ENGCE106_sec4,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,จันทร์,13
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_302,theory,พฤหัสบดี,17
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_302,theory,พฤหัสบดี,18
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_302,theory,พฤหัสบดี,19
ENGCE109_sec1_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,พุธ,17
ENGCE109_sec1_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,พุธ,18
ENGCE109_sec2,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,จันทร์,17
ENGCE109_sec2,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,จันทร์,18
ENGCE109_sec2,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,จันทร์,19
ENGCE109_sec2_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_302,lab,ศุกร์,17
