รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง
DENEE501_sec1_lab,doctoral seminar,อ.ขวัญชัย เอื้อวิริยานุกูล,ทค2_101,lab,อาทิตย์,0
DENEE501_sec2_lab,doctoral seminar,อ.สมนึก สุระธง,ทค1_101,lab,อาทิตย์,0
DENEE503_sec1_lab,doctoral seminar,อ.ประเสริฐ ลือโขง,ทค1_202,lab,พุธ,0
DENEE734_sec1,advanced artificial intelligence and machine learning,อ.จักรภพ ใหม่เสน,ทค1_205,theory,ศุกร์,0
DENEE734_sec1,advanced artificial intelligence and machine learning,อ.จักรภพ ใหม่เสน,ทค1_205,theory,ศุกร์,0
DENEE734_sec2,advanced artificial intelligence and machine learning,อ.สมนึก สุระธง,ทค1_201,theory,อังคาร,0
DENEE734_sec2,advanced artificial intelligence and machine learning,อ.สมนึก สุระธง,ทค1_201,theory,อังคาร,0
DENEE734_sec3,advanced artificial intelligence and machine learning,อ.ประเสริฐ ลือโขง,ทค2_201,theory,อาทิตย์,0
DENEE734_sec3,advanced artificial intelligence and machine learning,อ.ประเสริฐ ลือโขง,ทค2_201,theory,อาทิตย์,0
DENEE734_sec3,advanced artificial intelligence and machine learning,อ.ประเสริฐ ลือโขง,ทค2_201,theory,อาทิตย์,0
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,0
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,0
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,0
ENGCC304_sec2,computer programming,อ.กิตตินันท น้อยมณี,ทค1_101,theory,พฤหัสบดี,0
ENGCC304_sec2,computer programming,อ.กิตตินันท น้อยมณี,ทค1_101,theory,พฤหัสบดี,0
ENGCC304_sec2_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,จันทร์,0
ENGCC304_sec2_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,จันทร์,0
ENGCC304_sec2_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,จันทร์,0
ENGCC304_sec3,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,theory,ศุกร์,0
ENGCC304_sec3,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,theory,ศุกร์,0
ENGCC304_sec3_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,lab,พฤหัสบดี,0
ENGCC304_sec3_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,lab,พฤหัสบดี,0
ENGCC304_sec3_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,lab,พฤหัสบดี,0
ENGCC304_sec4,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,theory,ศุกร์,0
ENGCC304_sec4,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,theory,ศุกร์,0
ENGCC304_sec4_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,lab,จันทร์,0
ENGCC304_sec4_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,lab,จันทร์,0
ENGCC304_sec4_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,lab,จันทร์,0
ENGCC304_sec5,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,theory,อาทิตย์,0
ENGCC304_sec5,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,theory,อาทิตย์,0
ENGCC304_sec5_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,lab,เสาร์,0
ENGCC304_sec5_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,lab,เสาร์,0
ENGCC304_sec5_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,lab,เสาร์,0
ENGCC304_sec6,computer programming,อ.อนันท์ ทับเกิด,ทค2_101,theory,อังคาร,0
ENGCC304_sec6,computer programming,อ.อนันท์ ทับเกิด,ทค2_101,theory,อังคาร,0
ENGCC304_sec6_lab,computer programming,อ.อนันท์ ทับเกิด,ทค2_101,lab,พุธ,0
ENGCC304_sec6_lab,computer programming,อ.อนันท์ ทับเกิด,ทค2_101,lab,พุธ,0
ENGCC304_sec6_lab,computer programming,อ.อนันท์ ทับเกิด,ทค2_101,lab,พุธ,0
ENGCC304_sec7,computer programming,อ.อนันท์ ทับเกิด,ทค2_201,theory,อังคาร,0
